name,year,maker,price,seller_name,seller_phone,miles,exterior_color,interior_color,transmission,drivetrain,vin,id
2010 Mercedes-Benz  GL 450 4MATIC,2010,Mercedes-Benz,15614.0,Kayser Ford Lincoln,(608) 807-5359,107545.0,Black,Cashmere,7-Speed Automatic,AWD,4JGBF7BEXAA543808,0
2015 Mercedes-Benz  ML 350,2015,Mercedes-Benz,29998.0,CarMax Madison,(608) 286-3923,36642.0,Gray,Black,7-Speed Automatic w/OD,AWD,4JGDA5HB7FA445741,1
2013 Mercedes-Benz  E 350 4MATIC,2013,Mercedes-Benz,16500.0,Lexus of Madison,(608) 478-2660,80614.0,Black,Black,7-Speed Automatic,AWD,WDDHF8JB7DA667069,2
2015 Mercedes-Benz  C 300,2015,Mercedes-Benz,26988.0,Zimbrick Hyundai Eastside,(608) 338-1462,30090.0,Black,Black,7-Speed A/T,All Wheel Drive,55SWF4KB2FU026106,3
2015 Mercedes-Benz  SLK 250,2015,Mercedes-Benz,29988.0,Zimbrick Hyundai Eastside,(608) 338-1462,25344.0,Black,Sahara Beige,7-Speed A/T,Rear Wheel Drive,WDDPK4HA2FF108712,4
2015 Mercedes-Benz  E 350 4MATIC,2015,Mercedes-Benz,29855.0,Kayser Chrysler Center Watertown,(920) 545-2133,35199.0,Silver,Gray / Dark Gray,7-Speed Automatic,AWD,WDDHF8JB4FB086738,6
2008 Mercedes-Benz  C 300 Luxury 4MATIC,2008,Mercedes-Benz,10850.0,Jim O'Connor Select Auto,(262) 347-4147,99224.0,Red,Black,7-Speed Automatic,AWD,WDDGF81X58F143788,7
2015 Mercedes-Benz  GL 350 BlueTEC 4MATIC,2015,Mercedes-Benz,43977.0,Kunes Country Chevrolet Cadillac of Delavan,(262) 586-4283,39027.0,Burnt Orange,Black,7-Speed Automatic,AWD,4JGDF2EEXFA490266,8
2008 Mercedes-Benz  E 350 4MATIC,2008,Mercedes-Benz,8500.0,Napleton Autowerks Loves Park,(815) 916-4212,148268.0,White,,5-Speed Automatic,AWD,WDBUF87X28B291147,9
2018 Mercedes-Benz  S 450 4MATIC,2018,Mercedes-Benz,107215.0,Napleton Autowerks Loves Park,(815) 916-4212,0.0,Iridium Silver,,9-Speed Automatic,AWD,WDDUG6EB9JA357043,12
2018 Mercedes-Benz GLC 300 Base 4MATIC,2018,Mercedes-Benz,52495.0,Napleton Autowerks Loves Park,(815) 916-4212,0.0,Black,,9-Speed Automatic,AWD,WDC0G4KB8JV067980,13
2013 Mercedes-Benz  C 300 Sport 4MATIC,2013,Mercedes-Benz,18500.0,Napleton Autowerks Loves Park,(855) 789-0937,46932.0,Silver,,7-Speed Automatic,AWD,WDDGF8AB7DR287131,14
2014 Mercedes-Benz  GL 450 4MATIC,2014,Mercedes-Benz,33424.0,Boucher Hyundai,(866) 508-6541,54577.0,Black,Black,7-Speed Automatic,AWD,4JGDF7CE1EA403577,15
2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,65665.0,Mercedes-Benz of Elmbrook,(262) 510-0498,0.0,Black,Black,9-Speed Automatic,AWD,WDDZF4KB3HA282271,17
2018 Mercedes-Benz  E 300,2018,Mercedes-Benz,62060.0,Mercedes-Benz of Elmbrook,(262) 510-0498,0.0,Black,Black,9-Speed Automatic,AWD,WDDZF4KBXJA370451,18
